sessionnumb  20260904180823 
gap> Read("Task20260904Ud.g");
887 23665 5 
888 23687 5 
889 23713 5 
890 23738 5 
891 23761 5 
892 23782 5 
893 23808 5 
894 23829 5 
895 23855 5 
896 23882 5 
897 23906 5 
898 23934 5 
899 23962 5 
900 23988 5 
901 24011 5 
902 24039 5 
903 24065 5 
904 24093 5 
905 24120 5 
906 24144 5 
907 24170 5 
908 24188 5 
909 24216 5 
910 24235 5 
911 24258 5 
912 24275 5 
913 24299 5 
914 24322 5 
915 24348 5 
916 24370 5 
917 24396 5 
918 24417 5 
919 24444 5 
920 24473 5 
921 24501 5 
922 24530 5 
923 24555 5 
924 24581 5 
925 24607 5 
926 24635 5 
927 24664 5 
928 24692 5 
929 24714 5 
930 24740 5 
931 24762 5 
932 24787 5 
933 24814 5 
934 24835 5 
935 24860 5 
936 24883 5 
937 24901 5 
938 24927 5 
939 24952 5 
940 24974 5 
941 24996 5 
942 25022 5 
943 25043 5 
944 25070 5 
945 25097 5 
946 25125 5 
947 25153 5 
948 25179 5 
949 25207 5 
950 25236 5 
951 25263 5 
952 25288 5 
953 25311 5 
954 25338 5 
955 25363 5 
956 25388 5 
957 25414 5 
958 25442 5 
959 25461 5 
960 25485 5 
961 25512 5 
962 25536 5 
963 25553 5 
964 25579 5 
965 25601 5 
966 25623 5 
967 25648 5 
968 25669 5 
969 25695 5 
970 25724 5 
971 25753 5 
972 25779 5 
973 25808 5 
974 25836 5 
975 25862 5 
976 25891 5 
977 25915 5 
978 25941 5 
979 25967 5 
980 25989 5 
981 26015 5 
982 26040 5 
983 26062 5 
984 26087 5 
985 26112 5 
986 26135 5 
987 26161 5 
988 26186 5 
989 26202 5 
990 26223 5 
991 26245 5 
992 26270 5 
993 26295 5 
994 26321 5 
995 26350 5 
996 26379 5 
997 26404 5 
998 26430 5 
999 26456 5 
1000 26485 5 
1001 26514 5 
1002 26540 5 
1003 26567 5 
1004 26589 5 
1005 26616 5 
1006 26638 5 
1007 26658 5 
1008 26683 5 
1009 26709 5 
1010 26734 5 
1011 26757 5 
1012 26774 5 
1013 26797 5 
1014 26820 5 
1015 26845 5 
1016 26866 5 
1017 26891 5 
1018 26917 5 
1019 26946 5 
1020 26975 5 
1021 27001 5 
1022 27030 5 
1023 27056 5 
1024 27082 5 
1025 27111 5 
1026 27140 5 
1027 27166 5 
1028 27191 5 
1029 27219 5 
1030 27240 5 
1031 27264 5 
1032 27290 5 
1033 27311 5 
1034 27336 5 
1035 27353 5 
1036 27378 5 
1037 27400 5 
1038 27426 5 
1039 27448 5 
1040 27470 5 
1041 27496 5 
1042 27517 5 
1043 27543 5 
1044 27569 5 
1045 27598 5 
1046 27623 5 
1047 27652 5 
1048 27678 5 
1049 27704 5 
1050 27732 5 
1051 27759 5 
1052 27781 5 
1053 27807 5 
1054 27830 5 
1055 27849 5 
1056 27874 5 
1057 27900 5 
1058 27919 5 
1059 27945 5 
1060 27968 5 
1061 27990 5 
1062 28016 5 
1063 28038 5 
1064 28063 5 
1065 28084 5 
1066 28114 5 
1067 28142 5 
1068 28171 5 
1069 28198 5 
1070 28225 5 
1071 28252 5 
1072 28282 5 
1073 28308 5 
1074 28337 5 
1075 28363 5 
1076 28389 5 
1077 28418 5 
1078 28444 5 
1079 28471 5 
1080 28498 5 
1081 28521 5 
1082 28546 5 
1083 28567 5 
1084 28587 5 
1085 28614 5 
1086 28641 5 
1087 28664 5 
1088 28686 5 
1089 28708 5 
1090 28731 5 
1091 28752 5 
1092 28773 5 
1093 28799 5 
1094 28828 5 
1095 28854 5 
1096 28882 5 
1097 28911 5 
1098 28937 5 
1099 28963 5 
1100 28989 5 
1101 29015 5 
1102 29040 5 
1103 29068 5 
1104 29093 5 
1105 29118 5 
1106 29138 5 
1107 29157 5 
1108 29184 5 
1109 29207 5 
1110 29230 5 
1111 29247 5 
1112 29272 5 
1113 29298 5 
1114 29320 5 
1115 29346 5 
1116 29367 5 
1117 29393 5 
1118 29419 5 
1119 29444 5 
1120 29473 5 
1121 29499 5 
1122 29525 5 
1123 29551 5 
1124 29578 5 
1125 29607 5 
1126 29629 5 
1127 29649 5 
1128 29674 5 
1129 29695 5 
1130 29720 5 
1131 29739 5 
1132 29762 5 
1133 29788 5 
1134 29811 5 
1135 29837 5 
1136 29858 5 
1137 29879 5 
1138 29904 5 
1139 29930 5 
1140 29956 5 
1141 29984 5 
1142 30013 5 
1143 30039 5 
1144 30065 5 
1145 30091 5 
1146 30117 5 
1147 30143 5 
1148 30172 5 
1149 30194 5 
1150 30219 5 
1151 30244 5 
1152 30264 5 
1153 30292 5 
1154 30309 5 
1155 30327 5 
1156 30352 5 
1157 30378 5 
1158 30404 5 
1159 30426 5 
1160 30448 5 
1161 30469 5 
1162 30485 5 
1163 30512 5 
1164 30539 5 
1165 30566 5 
1166 30595 5 
1167 30622 5 
1168 30640 5 
1169 30651 5 
1170 30674 5 
1171 30683 5 
1172 30708 5 
1173 30733 5 
1174 30762 5 
1175 30791 5 
1176 30818 5 
1177 30845 5 
1178 30872 5 
1179 30901 5 
1180 30931 5 
1181 30957 5 
1182 30983 5 
1183 31012 5 
1184 31038 5 
1185 31064 5 
1186 31089 5 
1187 31115 5 
1188 31141 5 
1189 31163 5 
1190 31187 5 
1191 31207 5 
1192 31234 5 
1193 31257 5 
1194 31284 5 
1195 31307 5 
1196 31328 5 
1197 31351 5 
1198 31372 5 
1199 31393 5 
1200 31419 5 
1201 31445 5 
1202 31471 5 
1203 31500 5 
1204 31526 5 
1205 31552 5 
1206 31581 5 
1207 31607 5 
1208 31631 5 
1209 31657 5 
1210 31677 5 
1211 31703 5 
1212 31723 5 
1213 31740 5 
1214 31762 5 
1215 31788 5 
1216 31814 5 
1217 31839 5 
1218 31861 5 
1219 31883 5 
1220 31904 5 
1221 31943 5 
1222 31980 5 
1223 32016 5 
1224 32052 5 
1225 32086 5 
1226 32120 5 
1227 32154 5 
1228 32186 5 
1229 32218 5 
1230 32249 5 
1231 32280 5 
1232 32311 5 
1233 32341 5 
1234 32371 5 
1235 32400 5 
1236 32429 5 
1237 32457 5 
1238 32485 5 
1239 32512 5 
1240 32539 5 
1241 32566 5 
1242 32595 5 
1243 32622 5 
1244 32648 5 
1245 32674 5 
1246 32699 5 
1247 32723 5 
1248 32751 5 
1249 32776 5 
1250 32800 5 
1251 32825 5 
1252 32849 5 
1253 32876 5 
1254 32903 5 
1255 32926 5 
1256 32939 5 
1257 32960 5 
1258 32982 5 
1259 33003 5 
1260 33040 5 
1261 33077 5 
1262 33112 5 
1263 33147 5 
1264 33182 5 
1265 33216 5 
1266 33246 5 
1267 33277 5 
1268 33306 5 
1269 33337 5 
1270 33366 5 
1271 33394 5 
1272 33422 5 
1273 33449 5 
1274 33477 5 
1275 33506 5 
1276 33535 5 
1277 33562 5 
1278 33591 5 
1279 33620 5 
1280 33646 5 
1281 33668 5 
1282 33696 5 
1283 33721 5 
1284 33747 5 
1285 33775 5 
1286 33800 5 
1287 33825 5 
1288 33849 5 
1289 33876 5 
1290 33903 5 
1291 33930 5 
1292 33953 5 
1293 33980 5 
1294 34002 5 
1295 34014 5 
1296 34039 5 
1297 34064 5 
1298 34101 5 
1299 34137 5 
1300 34171 5 
1301 34205 5 
1302 34239 5 
1303 34271 5 
1304 34303 5 
1305 34334 5 
1306 34365 5 
1307 34396 5 
1308 34427 5 
1309 34455 5 
1310 34484 5 
1311 34512 5 
1312 34541 5 
1313 34570 5 
1314 34597 5 
1315 34625 5 
1316 34651 5 
1317 34678 5 
1318 34704 5 
1319 34732 5 
1320 34757 5 
1321 34783 5 
1322 34811 5 
1323 34836 5 
1324 34861 5 
1325 34885 5 
1326 34910 5 
1327 34934 5 
1328 34961 5 
1329 34984 5 
1330 35011 5 
1331 35033 5 
1332 35045 5 
1333 35067 5 
1334 35088 5 
1335 35124 5 
1336 35159 5 
1337 35194 5 
1338 35229 5 
1339 35262 5 
1340 35294 5 
1341 35326 5 
1342 35357 5 
1343 35388 5 
1344 35419 5 
1345 35450 5 
1346 35478 5 
1347 35507 5 
1348 35535 5 
1349 35564 5 
1350 35593 5 
1351 35620 5 
1352 35648 5 
1353 35674 5 
1354 35701 5 
1355 35730 5 
1356 35755 5 
1357 35780 5 
1358 35806 5 
1359 35834 5 
1360 35859 5 
1361 35884 5 
1362 35908 5 
1363 35933 5 
1364 35957 5 
1365 35984 5 
1366 36007 5 
1367 36034 5 
1368 36056 5 
1369 36068 5 
1370 36090 5 
1371 36111 5 
1372 36146 5 
1373 36181 5 
1374 36214 5 
1375 36246 5 
1376 36278 5 
1377 36309 5 
1378 36340 5 
1379 36371 5 
1380 36402 5 
1381 36430 5 
1382 36459 5 
1383 36487 5 
1384 36516 5 
1385 36545 5 
1386 36572 5 
1387 36600 5 
1388 36626 5 
1389 36653 5 
1390 36679 5 
1391 36707 5 
1392 36732 5 
1393 36758 5 
1394 36786 5 
1395 36811 5 
1396 36836 5 
1397 36860 5 
1398 36885 5 
1399 36909 5 
1400 36936 5 
1401 36959 5 
1402 36986 5 
1403 37008 5 
1404 37020 5 
1405 37042 5 
1406 37063 5 
1407 37095 5 
1408 37130 5 
1409 37161 5 
1410 37193 5 
1411 37223 5 
1412 37254 5 
1413 37285 5 
1414 37316 5 
1415 37347 5 
1416 37375 5 
1417 37402 5 
1418 37430 5 
1419 37459 5 
1420 37488 5 
1421 37515 5 
1422 37543 5 
1423 37566 5 
1424 37593 5 
1425 37619 5 
1426 37647 5 
1427 37668 5 
1428 37695 5 
1429 37723 5 
1430 37750 5 
1431 37777 5 
1432 37804 5 
1433 37829 5 
1434 37853 5 
1435 37880 5 
1436 37906 5 
1437 37933 5 
1438 37959 5 
1439 37971 5 
1440 37993 5 
1441 38014 5 
1442 38049 5 
1443 38083 5 
1444 38116 5 
1445 38148 5 
1446 38180 5 
1447 38210 5 
1448 38241 5 
1449 38272 5 
1450 38303 5 
1451 38331 5 
1452 38360 5 
1453 38388 5 
1454 38417 5 
1455 38446 5 
1456 38473 5 
1457 38501 5 
1458 38527 5 
1459 38554 5 
1460 38580 5 
1461 38608 5 
1462 38633 5 
1463 38659 5 
1464 38687 5 
1465 38712 5 
1466 38737 5 
1467 38761 5 
1468 38786 5 
1469 38810 5 
1470 38837 5 
1471 38860 5 
1472 38887 5 
1473 38909 5 
1474 38921 5 
1475 38943 5 
1476 38964 5 
1477 38998 5 
1478 39030 5 
1479 39062 5 
1480 39093 5 
1481 39122 5 
1482 39153 5 
1483 39181 5 
1484 39210 5 
1485 39239 5 
1486 39267 5 
1487 39296 5 
1488 39325 5 
1489 39354 5 
1490 39382 5 
1491 39404 5 
1492 39431 5 
1493 39457 5 
1494 39485 5 
1495 39510 5 
1496 39536 5 
1497 39564 5 
1498 39589 5 
1499 39614 5 
1500 39640 5 
1501 39667 5 
1502 39691 5 
1503 39718 5 
1504 39741 5 
1505 39768 5 
1506 39794 5 
1507 39804 5 
1508 39826 5 
1509 39851 5 
1510 39882 5 
1511 39914 5 
1512 39945 5 
1513 39976 5 
1514 40007 5 
1515 40038 5 
1516 40066 5 
1517 40095 5 
1518 40123 5 
1519 40152 5 
1520 40181 5 
1521 40208 5 
1522 40236 5 
1523 40262 5 
1524 40289 5 
1525 40315 5 
1526 40340 5 
1527 40368 5 
1528 40394 5 
1529 40422 5 
1530 40448 5 
1531 40472 5 
1532 40496 5 
1533 40521 5 
1534 40545 5 
1535 40572 5 
1536 40595 5 
1537 40622 5 
1538 40644 5 
1539 40656 5 
1540 40678 5 
1541 40699 5 
1542 40732 5 
1543 40764 5 
1544 40795 5 
1545 40823 5 
1546 40851 5 
1547 40882 5 
1548 40911 5 
1549 40940 5 
1550 40969 5 
1551 40999 5 
1552 41028 5 
1553 41055 5 
1554 41083 5 
1555 41109 5 
1556 41136 5 
1557 41162 5 
1558 41190 5 
1559 41211 5 
1560 41237 5 
1561 41265 5 
1562 41290 5 
1563 41315 5 
1564 41341 5 
1565 41366 5 
1566 41392 5 
1567 41419 5 
1568 41446 5 
1569 41473 5 
1570 41495 5 
1571 41505 5 
1572 41527 5 
1573 41552 5 
1574 41582 5 
1575 41613 5 
1576 41644 5 
1577 41674 5 
1578 41704 5 
1579 41734 5 
1580 41763 5 
1581 41791 5 
1582 41819 5 
1583 41846 5 
1584 41873 5 
1585 41901 5 
1586 41927 5 
1587 41954 5 
1588 41980 5 
1589 42005 5 
1590 42031 5 
1591 42057 5 
1592 42082 5 
1593 42107 5 
1594 42132 5 
1595 42156 5 
1596 42181 5 
1597 42205 5 
1598 42228 5 
1599 42252 5 
1600 42275 5 
1601 42297 5 
1602 42311 5 
1603 42333 5 
1604 42354 5 
1605 42385 5 
1606 42415 5 
1607 42445 5 
1608 42476 5 
1609 42505 5 
1610 42535 5 
1611 42563 5 
1612 42592 5 
1613 42621 5 
1614 42648 5 
1615 42676 5 
1616 42704 5 
1617 42733 5 
1618 42758 5 
1619 42787 5 
1620 42812 5 
1621 42838 5 
1622 42866 5 
1623 42891 5 
1624 42916 5 
1625 42941 5 
1626 42965 5 
1627 42992 5 
1628 43016 5 
1629 43041 5 
1630 43064 5 
1631 43086 5 
1632 43109 5 
1633 43121 5 
1634 43147 5 
1635 43168 5 
1636 43199 5 
1637 43229 5 
1638 43260 5 
1639 43290 5 
1640 43320 5 
1641 43348 5 
1642 43378 5 
1643 43408 5 
1644 43436 5 
1645 43465 5 
1646 43492 5 
1647 43520 5 
1648 43549 5 
1649 43574 5 
1650 43602 5 
1651 43629 5 
1652 43654 5 
